'2020-01-01',SCHOOLNAME,MEDIUM,ATLAG
2020-01-01,Aprily Lajos Altalanos Iskola,Rural,5.215
2020-01-01,Arany Janos Altalanos Iskola,Rural,5.487
2020-01-01,Arany Janos Altalanos Iskola ,Rural,6.287
2020-01-01,Augusztinovics Pal Altalanos Iskola,Rural,5.631
2020-01-01,Baczkamadarasi Kis Gergely Reformatus Kollegium,Urban,7.341
2020-01-01,Balanbanyai 1-Es Szamu Altalanos Iskola,Urban,6.232
2020-01-01,Balas Jeno Altalanos Iskola,Rural,4.826
2020-01-01,Balint Vilmos Altalanos Iskola,Rural,6.219
2020-01-01,Bem Jozsef Altalanos Iskola,Rural,5.59
2020-01-01,Benedek Elek Altalanos Iskola,Rural,5.089
2020-01-01,Benedek Elek Pedagogiai Liceum,Urban,7.476
2020-01-01,Berde Mozes Unitarius Gimnazium,Urban,5.53
2020-01-01,Bethlen Gabor Altalanos Iskola,Rural,6.523
2020-01-01,Bethlen Gabor Altalanos Iskola,Urban,7.265
2020-01-01,Bogozi Altalanos Iskola,Rural,4.017
2020-01-01,Centrul Scolar Pentru Educatie Incluziva Bilbor,Rural,3.3
2020-01-01,Colegiul National Octavian Goga Miercurea Ciuc,Urban,8.048
2020-01-01,Cserei Mihaly Altalanos Iskola,Rural,5.416
2020-01-01,Csikmenasagi Altalanos Iskola,Rural,6.568
2020-01-01,Csikszentmiklosi Altalanos Iskola,Rural,6.337
2020-01-01,Csinodi Altalanos Iskola,Rural,3.71
2020-01-01,David Ferenc Altalanos Iskola,Rural,3.478
2020-01-01,Domokos Pal Peter Altalanos Iskola,Rural,6.341
2020-01-01,Dr. Lukacs Mihaly Altalanos Iskola,Rural,4.702
2020-01-01,Dr. P. Benedek Fidel Altalanos Iskola,Rural,6.307
2020-01-01,Dr. P. Boros Fortunat Elmeleti Kozepiskola,Rural,5.214
2020-01-01,Dr. Pallo Imre Muveszeti Liceum,Urban,7.237
2020-01-01,Dumitru Gafton Altalanos Iskola,Rural,6.941
2020-01-01,Elekes Vencel Altalanos Iskola,Rural,6.561
